rank,edits
1,3105608
2,2043714
3,1462478
4,1411001
5,1279146
6,1261366
7,1203047
8,1103649
9,1049025
10,1042716
11,962359
12,924177
13,902318
14,894834
15,834048
16,683380
17,649413
18,614969
19,610770
20,603564
21,588654
22,587657
23,572502
24,558412
25,546947
26,519159
27,505076
28,495861
29,487375
30,474376
31,457466
32,457369
33,454898
34,453509
35,447157
36,443511
37,434645
38,422214
39,416631
40,416566
41,413457
42,413300
43,399591
44,398561
45,397000
46,394770
47,394527
48,386038
49,377283
50,375021
51,374610
52,371525
53,371428
54,360378
55,357314
56,355425
57,354136
58,352024
59,348835
60,346596
61,338695
62,335611
63,332476
64,326486
65,323441
66,322789
67,318300
68,318051
69,315466
70,313787
71,310786
72,310443
73,310263
74,306135
75,305024
76,302256
77,300594
78,297704
79,296245
80,294269
81,291687
82,291169
83,287551
84,284856
85,282873
86,282612
87,282070
88,280078
89,279819
90,278475
91,278450
92,273229
93,271163
94,270510
95,269472
96,268710
97,266337
98,264454
99,258986
100,258381
101,257643
102,256930
103,256888
104,256688
105,256160
106,255792
107,254630
108,253416
109,252948
110,249871
111,249583
112,247697
113,247460
114,245370
115,244075
116,242297
117,241281
118,240480
119,240439
120,239572
121,238093
122,237854
123,236567
124,235415
125,234002
126,229549
127,228644
128,228191
129,227698
130,226810
131,226605
132,225833
133,225193
134,224132
135,224088
136,220172
137,219908
138,218132
139,217774
140,216577
141,214844
142,214645
143,213365
144,212141
145,211918
146,211266
147,211070
148,210197
149,209700
150,209289
151,208219
152,206348
153,206099
154,205850
155,205607
156,205585
157,205119
158,205070
159,204742
160,204445
161,204137
162,203864
163,203493
164,203443
165,203050
166,202589
167,201463
168,201413
169,201038
170,199086
171,198849
172,197375
173,196613
174,195898
175,195090
176,193672
177,192509
178,191832
179,191476
180,191299
181,190886
182,189821
183,189416
184,189372
185,188006
186,187951
187,187832
188,187709
189,187094
190,185697
191,185176
192,184712
193,184522
194,184452
195,184272
196,184160
197,183608
198,183009
199,182851
200,179709
201,179502
